frame,x,y,is_really_mir,selected_mir_type
43,6.788486592,233.1800484,1,2
43,9.592195195,52.70584598,0,2
43,10.95237225,846.7908214,0,2
43,14.5093721,856.7939151,1,0
43,18.4299883,473.8356164,1,1
43,19.53432319,391.408366,0,0
43,22.56795472,399.1125404,1,2
43,24.13458537,307.0212484,1,2
43,24.52569869,981.9679197,1,2
43,33.88379788,908.9230097,1,0
43,37.27355772,755.6341133,0,0
43,40.20984744,592.2075376,1,0
43,43.04687931,800.8114558,1,1
43,49.92832408,621.7200426,1,0
43,49.54415034,632.8807882,0,0
43,59.72699989,92.06761019,0,0
43,59.66045711,426.8148213,1,1
43,63.34416212,64.6091245,1,2
43,67.45532437,789.4814806,1,0
43,67.66110336,890.0539717,0,2
43,67.95915505,427.1150163,0,2
43,69.15569128,415.9828627,1,0
43,70.06614663,829.3849956,1,1
43,76.16295559,500.0335629,1,0
43,76.46830758,511.1716264,0,0
43,79.13929092,706.2703427,0,0
43,81.46586358,675.5256545,1,2
43,87.2116819,498.549657,1,1
43,88.76000726,372.155686,1,0
43,89.47820287,382.8581782,0,0
43,91.7407221,516.0319652,1,0
43,91.98346696,526.9936277,0,0
43,93.71216571,722.5080909,0,0
43,106.7512512,317.7323642,0,0
43,106.4010178,742.3853728,0,0
43,107.3180515,306.5020296,1,0
43,108.6025016,435.2424804,1,0
43,108.7167583,446.8715639,0,0
43,108.7975018,837.8918519,0,0
43,114.8056309,310.813323,1,1
43,119.0380688,689.5802906,0,1
43,119.1628097,678.9417219,1,0
43,130.6016475,337.8538569,1,1
43,130.8716938,766.1400281,1,2
43,133.6056346,260.4436303,1,0
43,133.2363825,271.0653369,0,0
43,137.3040809,906.9755,0,0
43,138.9842189,79.88129518,1,0
43,138.8180796,90.10182703,0,0
43,140.8827904,355.4058393,0,0
43,149.4864172,1000.807869,0,0
43,158.5145263,948.8109887,0,0
43,159.1923234,937.3253814,1,0
43,161.2158158,446.0304334,0,0
43,161.1714695,438.7987989,1,2
43,171.8893318,46.95188577,1,0
43,172.805649,933.2920934,1,1
43,183.0028428,610.0738978,0,1
43,183.9646163,553.7205759,0,1
43,184.3101006,599.0930748,1,0
43,186.1384314,949.247524,1,2
43,189.9431333,375.5864651,0,2
43,190.6347588,364.5073761,1,0
43,203.0790678,154.968248,1,1
43,203.1717824,238.0564158,1,0
43,203.0479167,248.5630256,0,0
43,204.7263808,822.1284906,0,0
43,208.5596213,67.41908699,0,0
43,212.0306995,586.5039174,1,0
43,214.248866,593.9024386,0,0
43,213.8514329,362.0050579,0,2
43,214.7501232,316.2537855,0,0
43,214.07184,328.7805825,0,0
43,215.1464438,303.9426011,1,0
43,215.2897523,616.3655539,0,0
43,215.2650156,899.7790204,0,0
43,220.1179186,405.2372981,1,2
43,219.8126289,513.0818163,1,0
43,219.2913746,524.4346577,0,0
43,223.8519545,293.1610757,0,1
43,224.1629928,282.1149357,1,0
43,230.2886265,262.7312527,1,2
43,236.9379171,335.8356267,1,2
43,244.030382,992.9654674,0,2
43,249.6216803,237.9692947,0,2
43,253.4294806,488.3230724,0,2
43,261.6722275,917.5376611,0,2
43,264.489869,587.827862,0,2
43,267.2826566,204.9739363,0,2
43,272.1896043,957.5879181,1,0
43,272.1750822,969.595219,0,0
43,274.923041,987.4609357,0,0
43,278.1398769,393.6388906,0,0
43,278.5105518,478.640232,1,0
43,278.7213604,489.2679749,0,0
43,282.8624936,605.9684986,1,0
43,283.3350135,617.2004328,0,0
43,286.5912772,790.5103314,1,1
43,290.6401892,984.1832472,1,1
43,303.4700608,237.3184459,0,1
43,306.7640385,222.7713657,1,1
43,306.2984327,349.1332019,0,1
43,308.904483,208.6499128,1,2
43,313.024116,565.7637755,0,2
43,314.1903838,203.350357,1,2
43,322.1085187,688.8558295,0,2
43,323.3018648,271.1533809,0,2
43,323.8112748,278.5023917,0,2
43,325.0507309,537.348756,0,2
43,325.6142505,824.7351382,0,2
43,330.546882,930.6075428,1,0
43,330.7301183,942.5580011,0,0
43,333.5644541,415.3503924,1,0
43,333.1279589,427.4899337,0,0
43,333.9476086,605.1252292,1,2
43,333.8991208,840.1828468,0,2
43,334.6772475,821.7889651,0,2
43,338.6273586,37.83576195,1,2
43,343.7532348,855.6851354,0,2
43,349.5637127,681.6996243,1,0
43,349.6342655,692.8652199,0,0
43,351.3143253,310.7721614,1,2
43,352.7276409,124.4358767,1,0
43,352.6259434,369.483062,0,0
43,353.1164513,135.5760158,0,0
43,358.0111997,680.8541436,1,1
43,358.892378,749.0344719,0,1
43,359.0135688,812.6062676,0,1
43,360.4577208,353.8745197,0,0
43,361.1690649,965.1290747,0,0
43,362.555912,80.76149378,0,0
43,363.86244,288.3622539,0,0
43,363.8369963,298.5410467,0,0
43,364.3602827,120.4172398,1,2
43,365.4869201,789.3087367,1,2
43,365.085733,797.1127754,0,2
43,366.9916162,381.5452776,0,2
43,366.6950248,425.0966575,0,2
43,367.2885359,723.604942,1,0
43,367.4807343,735.698692,0,0
43,368.4992274,184.0714541,0,0
43,368.1884286,460.7048101,0,0
43,368.1456024,893.507458,0,1
43,370.8462047,79.72473945,0,0
43,371.1308953,67.83921237,1,0
43,378.9999001,743.0658015,0,0
43,381.7829252,167.0157627,1,0
43,381.2668294,930.9105731,0,0
43,382.1116444,46.41224933,0,0
43,382.0556651,178.2680584,0,0
43,384.1100852,152.3074327,1,2
43,388.934575,546.3462245,1,0
43,388.761727,557.7957398,0,0
43,390.6895107,275.744868,1,0
43,390.420583,287.2626419,0,0
43,392.0230302,267.8440442,0,0
43,398.6242397,270.5063303,0,0
43,398.0561583,740.2881747,1,0
43,398.3783277,750.4972501,0,0
43,400.0028627,194.0707473,1,0
43,400.2329746,206.6792508,0,0
43,403.2129535,427.0331888,0,0
43,405.1596584,604.5645698,1,0
43,405.1012971,615.9743305,0,0
43,409.0075894,302.8041958,1,2
43,410.0492422,85.86666379,1,2
43,410.3165722,536.4028349,1,2
43,411.1891647,499.4631558,1,0
43,411.3449704,509.9344785,0,0
43,412.4058279,6.923209518,0,0
43,421.1085338,223.337866,0,0
43,429.9840021,225.5564176,1,0
43,434.5756656,364.7095951,1,0
43,434.3275781,376.3922259,0,0
43,434.0997554,538.4998008,1,0
43,434.4393847,550.6946435,0,0
43,450.953685,558.5925923,0,0
43,451.3546288,81.0110864,0,0
43,452.4779013,173.8730241,0,0
43,453.9476755,449.574686,1,2
43,454.2539061,887.3726012,0,1
43,455.1749913,182.9785688,1,0
43,455.1227601,194.3567374,0,0
43,457.0416813,247.0770731,0,0
43,457.9305926,911.0134913,1,2
43,458.6395433,559.8212949,0,2
43,459.6563151,911.0134913,0,2
43,460.6719951,385.5267889,0,2
43,460.6080864,916.9539194,0,2
43,466.4198668,439.2977786,1,2
43,468.8110213,65.45789495,0,2
43,475.8927815,867.9683173,0,2
43,479.4025725,785.1126967,1,0
43,479.7525175,796.7131965,0,0
43,481.9750734,505.948251,1,2
43,486.5542994,703.1107176,1,0
43,487.1182037,714.4625739,0,0
43,495.081374,812.3297144,0,0
43,497.9243638,750.7705172,0,0
43,503.6142407,545.0116132,1,0
43,503.8602452,556.0513596,0,0
43,503.6891585,1002.030334,0,0
43,514.9577713,68.01822947,0,0
43,514.3983429,330.4194352,1,2
43,519.581825,807.3491723,1,0
43,519.1270389,818.1061695,0,0
43,526.1319445,132.4889875,0,0
43,526.3639489,420.0655906,0,0
43,530.7987344,782.8802601,0,0
43,531.7136584,74.28336139,1,2
43,532.1064014,81.3079135,0,2
43,534.3884116,510.1286526,0,1
43,537.7176725,821.0100436,0,2
43,540.0335467,722.3217902,1,2
43,540.6586354,76.75089988,0,2
43,540.0214691,247.4720669,1,0
43,540.052161,258.268455,0,0
43,540.7450195,756.6298484,0,0
43,546.6614895,506.5607344,1,2
43,546.2515203,521.8544906,0,2
43,554.7389016,618.7200182,0,1
43,555.2970563,366.1585181,0,1
43,556.2219195,106.6164001,0,1
43,562.4213416,559.2192819,1,0
43,562.9343092,570.8830575,0,0
43,566.668992,297.0200094,0,0
43,568.4191006,199.5184878,1,2
43,568.2346227,206.5285684,0,2
43,570.6674531,288.294385,0,2
43,583.7166391,113.3983122,1,2
